    n_win  win_start  win_end      seg_sites_branch            tajimas_d_site          tajimas_d_branch                diversity     Gen
12     12    60000.0  64999.0   [9237.999999999996]     [-1.1115070511292644]     [-1.0633014978772923]   [0.010968030150753734]   400.0
13     13    65000.0  69999.0   [9237.999999999996]     [-0.8475254322986155]     [-1.0633014978772939]    [0.01056587939698489]   400.0
14     14    70000.0  74999.0   [9237.999999999998]     [-0.8524454342968074]     [-1.0633014978772768]   [0.011572170854271332]   400.0
15     15    75000.0  79999.0   [9237.999999999998]     [-1.0692330686421943]     [-1.0633014978772732]    [0.00977574874371856]   400.0
16     16    80000.0  84999.0   [9237.999999999995]     [-1.0290968433443521]     [-1.0633014978772732]   [0.010447427135678372]   400.0
17     17    85000.0  89999.0   [9237.999999999987]     [-1.0068472555819206]      [-1.063301497877272]   [0.010812371859296446]   400.0
18     18    90000.0  94999.0    [9254.65999999999]     [-1.0259462388862721]     [-1.0714292242314118]   [0.009834643216080368]   400.0
19     19    95000.0  99999.0    [9259.13639999999]     [-1.2375557432350248]      [-1.077070063793562]   [0.009635015075376868]   400.0
0       0        0.0   4999.0              [9142.0]     [-0.8019512393392233]     [-0.7505631923091194]   [0.011487668341708506]   495.0
1       1     5000.0   9999.0              [9142.0]     [-0.7493672538729605]     [-0.7505631923091202]   [0.011294391959798958]   495.0
2       2    10000.0  14999.0   [9142.000000000002]     [-0.8175808950230719]       [-0.75056319230912]   [0.011412894472361778]   495.0
3       3    15000.0  19999.0              [9142.0]     [-0.5272830026251439]     [-0.7505631923091194]   [0.012516663316582875]   495.0
4       4    20000.0  24999.0   [9142.000000000002]     [-0.6180310526438264]     [-0.7505631923091243]   [0.011844120603015028]   495.0
5       5    25000.0  29999.0   [9142.000000000002]     [-0.6233398204556534]     [-0.7505631923091344]   [0.013524391959798978]   495.0
6       6    30000.0  34999.0   [9142.000000000002]     [-0.6913961246489668]     [-0.7505631923091339]   [0.012150462311557756]   495.0
7       7    35000.0  39999.0   [9156.469000000001]      [-0.532325704148705]     [-0.7567138754953565]   [0.013033648241205986]   495.0
8       8    40000.0  44999.0   [9177.000000000002]     [-0.7632236117611295]     [-0.7654081916673371]    [0.01185509547738689]   495.0
9       9    45000.0  49999.0   [9058.807200000001]     [-0.4118352279794158]      [-0.817293206171052]    [0.01326486432160801]   495.0
10     10    50000.0  54999.0   [8693.000000000002]     [-0.9167293819194776]      [-0.986818388478293]   [0.011158211055276356]   495.0
11     11    55000.0  59999.0   [8693.000000000002]     [-1.0179840695122595]     [-0.9868183884782921]   [0.011014311557788915]   495.0
12     12    60000.0  64999.0   [8693.000000000002]     [-1.0491789564101155]     [-0.9868183884782888]   [0.010166834170854245]   495.0
13     13    65000.0  69999.0   [8693.000000000002]     [-0.9792627484921532]     [-0.9868183884782872]   [0.010283175879396943]   495.0
14     14    70000.0  74999.0   [8693.000000000002]      [-1.063445939080981]     [-0.9868183884782722]    [0.01057957788944721]   495.0
15     15    75000.0  79999.0   [8693.000000000002]     [-0.8324755112910973]     [-0.9868183884782608]   [0.009849376884422095]   495.0
16     16    80000.0  84999.0   [8693.000000000002]     [-1.1324666723843373]     [-0.9868183884782603]   [0.010017125628140689]   495.0
17     17    85000.0  89999.0   [8693.000000000002]     [-0.7529093392506465]     [-0.9868183884782588]   [0.010886130653266303]   495.0
18     18    90000.0  94999.0           [8676.6848]     [-0.9411155830066372]     [-0.9811787228560194]   [0.009928371859296457]   495.0
19     19    95000.0  99999.0   [8659.999999999998]     [-1.1031583943786591]     [-0.9753893203350317]   [0.009485567839195968]   495.0
0       0        0.0   4999.0              [8955.0]     [-0.9938985286310398]     [-0.7506048968091618]   [0.010994060301507505]   500.0
1       1     5000.0   9999.0              [8955.0]     [-0.8434682958581455]      [-0.750604896809161]   [0.011012100502512535]   500.0
2       2    10000.0  14999.0   [8955.000000000002]     [-0.8457251047934893]     [-0.7506048968091616]    [0.01155493467336681]   500.0
3       3    15000.0  19999.0   [8955.000000000002]     [-0.5445611830814449]     [-0.7506048968091616]   [0.012634080402010011]   500.0
4       4    20000.0  24999.0   [8955.000000000002]      [-0.740107582719796]     [-0.7506048968091743]   [0.011652211055276342]   500.0
5       5    25000.0  29999.0   [8955.000000000002]     [-0.4984651599852852]     [-0.7506048968092157]   [0.013544542713567805]   500.0
6       6    30000.0  34999.0   [8955.000000000002]     [-0.6641874664832857]     [-0.7506048968092154]   [0.011984361809045196]   500.0
7       7    35000.0  39999.0   [8969.469000000001]     [-0.5907984654050737]     [-0.7564214969605283]    [0.01291538693467331]   500.0
8       8    40000.0  44999.0   [8990.000000000002]     [-0.7248443134957638]     [-0.7646429143115591]   [0.011750854271356746]   500.0
9       9    45000.0  49999.0   [8871.807200000001]    [-0.48542139448721755]     [-0.8204612455678283]   [0.013030924623115532]   500.0
10     10    50000.0  54999.0   [8506.000000000002]     [-0.8663843412507644]      [-1.003049311123331]   [0.010780442211055249]   500.0
11     11    55000.0  59999.0   [8506.000000000002]     [-1.0894051179095432]     [-1.0030493111233314]   [0.010880472361809015]   500.0
12     12    60000.0  64999.0   [8506.000000000002]     [-1.0212710166213832]     [-1.0030493111233296]   [0.009879085427135649]   500.0
13     13    65000.0  69999.0   [8506.000000000002]      [-1.011475466232294]     [-1.0030493111233296]   [0.009970291457286397]   500.0
14     14    70000.0  74999.0   [8511.540400000002]      [-1.073263852053159]     [-1.0034408369450205]   [0.010371748743718559]   500.0
15     15    75000.0  79999.0   [8498.048600000002]     [-0.8480744878763299]     [-0.9857844394638463]   [0.009558281407035144]   500.0
16     16    80000.0  84999.0   [8494.000000000002]     [-1.0817015104089773]     [-0.9829793581706265]   [0.009831939698492437]   500.0
17     17    85000.0  89999.0   [8494.000000000002]     [-0.9037119190749676]     [-0.9829793581706224]   [0.010902663316582876]   500.0
18     18    90000.0  94999.0           [8482.4032]     [-0.7912224923002874]     [-0.9819634106110761]     [0.0098153065326633]   500.0
19     19    95000.0  99999.0   [8467.000000000004]      [-1.116763134322401]     [-0.9739107502387294]   [0.008978050251256269]   500.0
