       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
335  1600.0     15   750000.0  799999.0        1  1136202        3.049665          3.043321   3.488198
336  1600.0     16   800000.0  849999.0        1  1112850        2.978994          2.981997   3.211402
337  1600.0     17   850000.0  899999.0        1  1128502        2.587374          2.582676   3.243497
338  1600.0     18   900000.0  949999.0        1  1112028        2.509422          2.504387   3.096723
339  1600.0     19   950000.0  999999.0        0  1057973        2.771239          2.765271   3.153896
340  1700.0      0        0.0   49999.0        3  1120448        3.022471          3.018629   3.331904
341  1700.0      1    50000.0   99999.0        1  1114003        3.181892          3.182807   3.163343
342  1700.0      2   100000.0  149999.0        1  1072907        3.397575          3.393789   3.201743
343  1700.0      3   150000.0  199999.0        0  1092642        3.530602          3.528924   3.264399
344  1700.0      4   200000.0  249999.0        1  1126873        3.618788          3.621894   3.200381
345  1700.0      5   250000.0  299999.0        1  1142987        2.520379          2.521915   2.788640
346  1700.0      6   300000.0  349999.0        1  1113675        2.094827          2.097529   2.801755
347  1700.0      7   350000.0  399999.0        1  1092479        2.363123          2.362910   2.824917
